Date, Close/Last, Volume, Open, High, Low
01/02/2020, $328.7, 1373509, $313.78, $337.88, $313.59
12/31/2019, $306.64, 342346, $305.63, $307.16, $302.5799
12/30/2019, $303.59, 342642, $307.25, $307.33, $302.96
12/27/2019, $306.11, 376853, $308.13, $308.13, $303.29
12/26/2019, $306.28, 834301, $302.47, $308.3913, $302.04
12/24/2019, $300.87, 257441, $304.32, $304.32, $300.71
12/23/2019, $303.37, 413283, $304.78, $305.99, $302.34
12/20/2019, $305.18, 673834, $308.84, $308.86, $303.985
12/19/2019, $307.19, 846967, $303.1, $310.6, $301.94
12/18/2019, $301.62, 746315, $305.45, $305.692, $300.64
12/17/2019, $304.57, 745086, $304.75, $305.75, $298.46
12/16/2019, $304.66, 782487, $306.5, $309.03, $302.07
12/13/2019, $304, 833311, $306, $306.36, $302.09
12/12/2019, $304.25, 773484, $308.18, $311.4301, $301.515
12/11/2019, $310.5, 539430, $312.89, $315.5233, $310.19
12/10/2019, $309.24, 613818, $309.36, $310.93, $307.49
12/09/2019, $308.04, 492443, $309, $311.25, $307.28
12/06/2019, $309.67, 436031, $316.49, $316.49, $308.69
12/05/2019, $314.2, 658818, $315.2, $320.93, $312.92
12/04/2019, $318.29, 644692, $323.35, $325, $316.65
12/03/2019, $317.32, 663888, $308.4, $317.91, $305.74
12/02/2019, $313.77, 624076, $315.94, $316.9906, $312.44
11/29/2019, $315.32, 801321, $313.05, $319.07, $311.8
11/27/2019, $319.24, 1021294, $312.14, $320, $305.5
11/26/2019, $314.51, 1264687, $303.61, $315.98, $301.94
11/25/2019, $304.59, 1334548, $305, $305.01, $298.98
11/22/2019, $310.4, 1296908, $298.38, $311.77, $298.38
11/21/2019, $294.39, 1453254, $295, $305.49, $288.665
11/20/2019, $287.81, 620394, $285, $289.43, $283.56
11/19/2019, $288.5, 524922, $292.11, $292.54, $285.83
11/18/2019, $290.24, 325791, $290.36, $292.5287, $288
11/15/2019, $291.23, 272257, $291.75, $294.71, $290.43
11/14/2019, $289.68, 450422, $295.66, $295.66, $287.22
11/13/2019, $295.01, 472622, $290.9, $296.725, $290.13
11/12/2019, $296.48, 356358, $298.02, $298.49, $294
11/11/2019, $295.27, 309165, $297.33, $297.33, $292.69
11/08/2019, $299.04, 234803, $298.5, $299.5, $295.65
11/07/2019, $300.13, 433798, $301.69, $303.95, $298.36
11/06/2019, $299.31, 633848, $294.42, $303.029, $292.68
11/05/2019, $294.04, 886115, $308.5, $309.01, $293.14
11/04/2019, $307.72, 1111793, $298.23, $309.24, $298.23
11/01/2019, $289.54, 516469, $288, $292.96, $285.37
10/31/2019, $285.86, 467522, $286.18, $287.99, $282.7
10/30/2019, $286.14, 366109, $284.12, $286.64, $281.21
10/29/2019, $283.31, 391167, $283.14, $284.56, $279.75
10/28/2019, $283.67, 412237, $282.16, $287.78, $280.41
10/25/2019, $281.16, 666882, $282.88, $285.8, $279.8
10/24/2019, $282.88, 777319, $273.4, $285.985, $272.75
10/23/2019, $270.85, 892538, $272.63, $274.8606, $268.98
10/22/2019, $274.26, 773703, $283.23, $285.19, $272.895
10/21/2019, $281.38, 562326, $290.11, $290.997, $280.98
10/18/2019, $286.03, 659365, $288.97, $291.31, $284.8525
10/17/2019, $288.85, 707878, $294.07, $295, $286.51
10/16/2019, $294.77, 1405636, $284.3, $295, $283.19
10/15/2019, $286.29, 1178045, $277.42, $287, $277.25
10/14/2019, $276.59, 795701, $266.44, $279.4144, $265.5
10/11/2019, $268.79, 812586, $263.88, $274.2, $262
10/10/2019, $258.96, 551553, $257.34, $261.29, $255.42
10/09/2019, $256.41, 450996, $255.72, $258.38, $253.755
10/08/2019, $254.64, 815621, $260.75, $261.88, $252.94
10/07/2019, $264.39, 545655, $263.49, $266.44, $262.18
10/04/2019, $263.63, 548689, $263.37, $265.67, $262.02
10/03/2019, $262.97, 649565, $261.48, $265.37, $259.35
10/02/2019, $260.15, 594217, $262, $263.97, $257.19
10/01/2019, $262.75, 702787, $266.04, $267.6, $255.345
09/30/2019, $266.18, 1226666, $263.37, $275.67, $263.01
09/27/2019, $260.69, 1630786, $273.35, $277.9, $255.6
09/26/2019, $273.35, 546150, $265.91, $275.44, $265
09/25/2019, $265.32, 629752, $260.96, $266.5, $258.93
09/24/2019, $263.1, 380028, $269.1, $269.1, $260.6
09/23/2019, $266.7, 571704, $267.15, $268.44, $265.34
09/20/2019, $269.44, 619376, $270.16, $274.18, $268.03
09/19/2019, $271.23, 643442, $269.48, $275.33, $269.15
09/18/2019, $270.02, 472762, $271.11, $271.93, $266.4207
09/17/2019, $270.16, 619727, $270.89, $271.95, $265.73
09/16/2019, $270.38, 489812, $272.16, $274.42, $269.23
09/13/2019, $275.27, 528648, $274.02, $278.29, $272.39
09/12/2019, $273.54, 395402, $277.3, $278.21, $272.62
